# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,morning_base_score,morning_base_band,midday_base_score,midday_base_band,dinner_base_score,dinner_base_band,late_base_score,late_base_band
Woodward Core,Cocktail Lounge,Fri,0.0,Minimal,5.4,Minimal,61.9,Moderate,58.8,Moderate
Woodward Core,Cocktail Lounge,Sat,0.0,Minimal,5.4,Minimal,61.4,Moderate,58.2,Moderate
Woodward Core,Cocktail Lounge,Sun,0.0,Minimal,1.4,Minimal,11.2,Minimal,7.6,Minimal
Greektown / Casino District,Fine Dining,Mon,0.0,Minimal,1.7,Minimal,8.1,Minimal,0.9,Minimal
Greektown / Casino District,Fine Dining,Tue,0.0,Minimal,3.8,Minimal,16.6,Minimal,2.0,Minimal
Greektown / Casino District,Fine Dining,Wed,0.0,Minimal,7.6,Minimal,32.8,Light,4.0,Minimal
Greektown / Casino District,Fine Dining,Thu,0.0,Minimal,14.1,Minimal,65.2,High,12.1,Minimal
Greektown / Casino District,Fine Dining,Fri,0.0,Minimal,15.0,Minimal,88.5,Peak,28.7,Light
Greektown / Casino District,Fine Dining,Sat,0.0,Minimal,16.8,Minimal,98.7,Peak,32.0,Light
Greektown / Casino District,Fine Dining,Sun,0.0,Minimal,2.4,Minimal,11.9,Minimal,1.0,Minimal
Greektown / Casino District,Upscale Casual,Mon,0.5,Minimal,5.2,Minimal,12.3,Minimal,1.6,Minimal
Greektown / Casino District,Upscale Casual,Tue,0.7,Minimal,8.2,Minimal,19.6,Minimal,2.6,Minimal
Greektown / Casino District,Upscale Casual,Wed,1.2,Minimal,12.3,Minimal,31.2,Light,5.3,Minimal
Greektown / Casino District,Upscale Casual,Thu,1.8,Minimal,17.9,Minimal,47.8,Moderate,11.0,Minimal
Greektown / Casino District,Upscale Casual,Fri,2.5,Minimal,19.4,Minimal,65.8,High,22.7,Light
Greektown / Casino District,Upscale Casual,Sat,4.5,Minimal,29.7,Light,64.6,Moderate,19.8,Minimal
Greektown / Casino District,Upscale Casual,Sun,1.6,Minimal,12.5,Minimal,25.2,Light,2.5,Minimal
Greektown / Casino District,Casual Dining,Mon,1.4,Minimal,11.4,Minimal,19.1,Minimal,3.0,Minimal
Greektown / Casino District,Casual Dining,Tue,1.6,Minimal,13.1,Minimal,21.9,Light,3.4,Minimal
Greektown / Casino District,Casual Dining,Wed,2.0,Minimal,15.8,Minimal,28.5,Light,5.0,Minimal
Greektown / Casino District,Casual Dining,Thu,2.7,Minimal,19.9,Minimal,38.1,Light,8.4,Minimal
Greektown / Casino District,Casual Dining,Fri,3.6,Minimal,23.5,Light,51.0,Moderate,15.7,Minimal
Greektown / Casino District,Casual Dining,Sat,3.9,Minimal,29.7,Light,51.9,Moderate,14.6,Minimal
Greektown / Casino District,Casual Dining,Sun,2.3,Minimal,20.2,Light,32.2,Light,3.6,Minimal
Greektown / Casino District,Fast Casual,Mon,4.3,Minimal,30.8,Light,15.5,Minimal,0.0,Minimal
Greektown / Casino District,Fast Casual,Tue,4.8,Minimal,34.5,Light,17.4,Minimal,0.0,Minimal
Greektown / Casino District,Fast Casual,Wed,5.4,Minimal,39.1,Light,19.7,Minimal,0.0,Minimal
Greektown / Casino District,Fast Casual,Thu,5.7,Minimal,38.7,Light,24.5,Light,0.0,Minimal
Greektown / Casino District,Fast Casual,Fri,6.0,Minimal,40.7,Moderate,25.7,Light,0.0,Minimal
Greektown / Casino District,Fast Casual,Sat,3.7,Minimal,29.9,Light,24.3,Light,0.0,Minimal
Greektown / Casino District,Fast Casual,Sun,2.1,Minimal,17.0,Minimal,13.9,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Mon,17.9,Minimal,17.7,Minimal,4.3,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Tue,19.4,Minimal,19.2,Minimal,4.6,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Wed,21.8,Light,21.7,Light,5.2,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Thu,22.1,Light,22.7,Light,7.2,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Fri,21.7,Light,23.5,Light,10.3,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Sat,15.3,Minimal,22.3,Light,9.1,Minimal,0.0,Minimal
Greektown / Casino District,Coffee Shop,Sun,8.4,Minimal,14.0,Minimal,5.3,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Mon,8.4,Minimal,11.4,Minimal,0.7,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Tue,8.6,Minimal,11.7,Minimal,0.7,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Wed,9.7,Minimal,13.3,Minimal,0.8,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Thu,11.9,Minimal,17.7,Minimal,2.2,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Fri,15.2,Minimal,25.4,Light,4.5,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Sat,21.4,Light,57.3,Moderate,5.4,Minimal,0.0,Minimal
Greektown / Casino District,Breakfast / Brunch Cafe,Sun,17.4,Minimal,53.9,Moderate,3.5,Minimal,0.0,Minimal
Greektown / Casino District,Sports Bar,Mon,0.0,Minimal,8.3,Minimal,23.3,Light,10.8,Minimal
Greektown / Casino District,Sports Bar,Tue,0.0,Minimal,8.2,Minimal,22.4,Light,10.0,Minimal
Greektown / Casino District,Sports Bar,Wed,0.0,Minimal,9.5,Minimal,25.9,Light,11.5,Minimal
Greektown / Casino District,Sports Bar,Thu,0.0,Minimal,11.0,Minimal,35.3,Light,18.6,Minimal
Greektown / Casino District,Sports Bar,Fri,0.0,Minimal,15.5,Minimal,39.0,Light,47.7,Moderate
Greektown / Casino District,Sports Bar,Sat,0.0,Minimal,21.9,Light,42.7,Moderate,48.7,Moderate
Greektown / Casino District,Sports Bar,Sun,0.0,Minimal,15.3,Minimal,37.1,Light,17.2,Minimal
Greektown / Casino District,Cocktail Lounge,Mon,0.0,Minimal,0.3,Minimal,3.4,Minimal,3.9,Minimal
Greektown / Casino District,Cocktail Lounge,Tue,0.0,Minimal,0.5,Minimal,6.2,Minimal,7.3,Minimal
Greektown / Casino District,Cocktail Lounge,Wed,0.0,Minimal,1.2,Minimal,15.1,Minimal,17.6,Minimal
Greektown / Casino District,Cocktail Lounge,Thu,0.0,Minimal,3.5,Minimal,39.9,Light,53.1,Moderate
Greektown / Casino District,Cocktail Lounge,Fri,0.0,Minimal,3.2,Minimal,55.7,Moderate,91.0,Peak
Greektown / Casino District,Cocktail Lounge,Sat,0.0,Minimal,3.2,Minimal,55.7,Moderate,91.0,Peak
Greektown / Casino District,Cocktail Lounge,Sun,0.0,Minimal,0.9,Minimal,11.0,Minimal,12.8,Minimal
Financial District,Fine Dining,Mon,0.0,Minimal,2.0,Minimal,3.9,Minimal,0.1,Minimal
Financial District,Fine Dining,Tue,0.0,Minimal,4.7,Minimal,8.2,Minimal,0.1,Minimal
Financial District,Fine Dining,Wed,0.0,Minimal,9.2,Minimal,16.1,Minimal,0.3,Minimal
Financial District,Fine Dining,Thu,0.0,Minimal,16.4,Minimal,30.6,Light,0.8,Minimal
Financial District,Fine Dining,Fri,0.0,Minimal,16.7,Minimal,39.9,Light,1.8,Minimal
Financial District,Fine Dining,Sat,0.0,Minimal,18.5,Minimal,44.2,Moderate,2.0,Minimal
Financial District,Fine Dining,Sun,0.0,Minimal,2.7,Minimal,5.5,Minimal,0.1,Minimal
Financial District,Upscale Casual,Mon,0.7,Minimal,6.5,Minimal,6.2,Minimal,0.1,Minimal
Financial District,Upscale Casual,Tue,1.1,Minimal,10.6,Minimal,10.2,Minimal,0.2,Minimal
Financial District,Upscale Casual,Wed,1.7,Minimal,15.6,Minimal,16.0,Minimal,0.4,Minimal
Financial District,Upscale Casual,Thu,2.4,Minimal,21.0,Light,22.7,Light,0.7,Minimal
Financial District,Upscale Casual,Fri,3.0,Minimal,20.6,Light,28.4,Light,1.4,Minimal
Financial District,Upscale Casual,Sat,5.4,Minimal,31.1,Light,27.4,Light,1.2,Minimal
Financial District,Upscale Casual,Sun,2.1,Minimal,14.0,Minimal,11.4,Minimal,0.2,Minimal
Financial District,Casual Dining,Mon,2.0,Minimal,14.3,Minimal,9.7,Minimal,0.2,Minimal
Financial District,Casual Dining,Tue,2.4,Minimal,17.3,Minimal,11.8,Minimal,0.3,Minimal
Financial District,Casual Dining,Wed,3.0,Minimal,20.6,Light,15.1,Minimal,0.4,Minimal
Financial District,Casual Dining,Thu,3.6,Minimal,23.6,Light,18.3,Minimal,0.6,Minimal
Financial District,Casual Dining,Fri,4.2,Minimal,24.1,Light,21.2,Light,0.9,Minimal
Financial District,Casual Dining,Sat,4.4,Minimal,29.7,Light,21.0,Light,0.8,Minimal
Financial District,Casual Dining,Sun,2.9,Minimal,22.6,Light,14.6,Minimal,0.2,Minimal
Financial District,Fast Casual,Mon,6.3,Minimal,39.8,Light,8.1,Minimal,0.0,Minimal
Financial District,Fast Casual,Tue,7.4,Minimal,47.3,Moderate,9.7,Minimal,0.0,Minimal
Financial District,Fast Casual,Wed,8.3,Minimal,52.8,Moderate,10.8,Minimal,0.0,Minimal
Financial District,Fast Casual,Thu,7.8,Minimal,46.1,Moderate,11.8,Minimal,0.0,Minimal
Financial District,Fast Casual,Fri,6.7,Minimal,39.7,Light,10.2,Minimal,0.0,Minimal
Financial District,Fast Casual,Sat,3.9,Minimal,27.8,Light,9.2,Minimal,0.0,Minimal
Financial District,Fast Casual,Sun,2.6,Minimal,18.7,Minimal,6.2,Minimal,0.0,Minimal
Financial District,Coffee Shop,Mon,26.0,Light,22.6,Light,2.2,Minimal,0.0,Minimal
Financial District,Coffee Shop,Tue,29.8,Light,26.0,Light,2.5,Minimal,0.0,Minimal
Financial District,Coffee Shop,Wed,33.2,Light,28.9,Light,2.8,Minimal,0.0,Minimal
Financial District,Coffee Shop,Thu,29.9,Light,26.9,Light,3.5,Minimal,0.0,Minimal
Financial District,Coffee Shop,Fri,24.3,Light,23.1,Light,4.1,Minimal,0.0,Minimal
Financial District,Coffee Shop,Sat,16.4,Minimal,21.0,Light,3.5,Minimal,0.0,Minimal
Financial District,Coffee Shop,Sun,10.5,Minimal,15.4,Minimal,2.4,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Mon,11.5,Minimal,13.8,Minimal,0.4,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Tue,12.2,Minimal,14.6,Minimal,0.4,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Wed,13.8,Minimal,16.6,Minimal,0.4,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Thu,15.9,Minimal,20.7,Light,1.0,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Fri,18.5,Minimal,27.3,Light,2.0,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Sat,26.2,Light,61.5,Moderate,2.3,Minimal,0.0,Minimal
Financial District,Breakfast / Brunch Cafe,Sun,22.5,Light,61.2,Moderate,1.6,Minimal,0.0,Minimal
Financial District,Sports Bar,Mon,0.0,Minimal,9.9,Minimal,11.3,Minimal,0.7,Minimal
Financial District,Sports Bar,Tue,0.0,Minimal,10.1,Minimal,11.2,Minimal,0.7,Minimal
Financial District,Sports Bar,Wed,0.0,Minimal,11.7,Minimal,12.9,Minimal,0.8,Minimal
Financial District,Sports Bar,Thu,0.0,Minimal,12.8,Minimal,16.6,Minimal,1.2,Minimal
Financial District,Sports Bar,Fri,0.0,Minimal,17.0,Minimal,17.3,Minimal,2.9,Minimal
Financial District,Sports Bar,Sat,0.0,Minimal,23.6,Light,18.7,Minimal,2.9,Minimal
Financial District,Sports Bar,Sun,0.0,Minimal,17.4,Minimal,17.1,Minimal,1.1,Minimal
Financial District,Cocktail Lounge,Mon,0.0,Minimal,0.3,Minimal,1.7,Minimal,0.3,Minimal
Financial District,Cocktail Lounge,Tue,0.0,Minimal,0.6,Minimal,3.1,Minimal,0.5,Minimal
Financial District,Cocktail Lounge,Wed,0.0,Minimal,1.5,Minimal,7.3,Minimal,1.2,Minimal
Financial District,Cocktail Lounge,Thu,0.0,Minimal,4.1,Minimal,18.7,Minimal,3.4,Minimal
Financial District,Cocktail Lounge,Fri,0.0,Minimal,3.9,Minimal,26.9,Light,6.1,Minimal
Financial District,Cocktail Lounge,Sat,0.0,Minimal,3.9,Minimal,27.1,Light,6.1,Minimal
Financial District,Cocktail Lounge,Sun,0.0,Minimal,1.0,Minimal,5.1,Minimal,0.8,Minimal
Midtown,Fine Dining,Mon,0.0,Minimal,1.9,Minimal,5.7,Minimal,0.4,Minimal
Midtown,Fine Dining,Tue,0.0,Minimal,4.3,Minimal,11.6,Minimal,0.8,Minimal
Midtown,Fine Dining,Wed,0.0,Minimal,8.4,Minimal,22.6,Light,1.5,Minimal
Midtown,Fine Dining,Thu,0.0,Minimal,15.3,Minimal,44.1,Moderate,4.6,Minimal
Midtown,Fine Dining,Fri,0.0,Minimal,15.9,Minimal,58.7,Moderate,10.6,Minimal
