# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,daypart,window,base_score,base_band
Woodward Core,Casual Dining,Sat,morning,06:00-11:00,6.3,Minimal
Woodward Core,Casual Dining,Sat,midday,11:00-16:00,42.4,Moderate
Woodward Core,Casual Dining,Sat,dinner,16:00-21:00,49.0,Moderate
Woodward Core,Casual Dining,Sat,late,21:00-02:00,8.0,Minimal
Woodward Core,Casual Dining,Sun,morning,06:00-11:00,3.8,Minimal
Woodward Core,Casual Dining,Sun,midday,11:00-16:00,29.5,Light
Woodward Core,Casual Dining,Sun,dinner,16:00-21:00,31.2,Light
Woodward Core,Casual Dining,Sun,late,21:00-02:00,2.0,Minimal
Woodward Core,Fast Casual,Mon,morning,06:00-11:00,8.4,Minimal
Woodward Core,Fast Casual,Mon,midday,11:00-16:00,53.3,Moderate
Woodward Core,Fast Casual,Mon,dinner,16:00-21:00,17.8,Minimal
Woodward Core,Fast Casual,Mon,late,21:00-02:00,0.0,Minimal
Woodward Core,Fast Casual,Tue,morning,06:00-11:00,9.6,Minimal
Woodward Core,Fast Casual,Tue,midday,11:00-16:00,61.2,Moderate
Woodward Core,Fast Casual,Tue,dinner,16:00-21:00,20.4,Light
Woodward Core,Fast Casual,Tue,late,21:00-02:00,0.0,Minimal
Woodward Core,Fast Casual,Wed,morning,06:00-11:00,10.5,Minimal
Woodward Core,Fast Casual,Wed,midday,11:00-16:00,66.7,High
Woodward Core,Fast Casual,Wed,dinner,16:00-21:00,22.3,Light
Woodward Core,Fast Casual,Wed,late,21:00-02:00,0.0,Minimal
